Name , OIII/Hb , NII/Ha , SII/Ha , OIII/OII , OIII/NII , OIII/SII , NII/SII , NII/OII , NII/SII;OIII/SII[log q] , NII/SII;OIII/SII[log z] , NII/SII;OIII/Hb[log q] , NII/SII;OIII/Hb[log z] , NII/SII;OIII/OII[log q] , NII/SII;OIII/OII[log z] , NII/OII;OIII/SII[log q] , NII/OII;OIII/SII[log z] , NII/OII;OIII/Hb[log q] , NII/OII;OIII/Hb[log z] , NII/OII;OIII/OII[log q] , NII/OII;OIII/OII[log z] , NII/Ha;OIII/Hb[log q] , NII/Ha;OIII/Hb[log z] , NII/Ha;OIII/OII[log q] , NII/Ha;OIII/OII[log z] , <q> , d[q] , <z> , d[z] , 
ID-7-43 , 0.205 , -0.5847 , -0.77335 , 0.36297 , 0.7897 , 0.6615 , 0.18875 , -0.10979 , 8.15611 , 8.99681 , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , 8.15611 , nan , 8.99681 , nan , 
ID-8-42 , -0.14377 , -0.67518 , -0.80652 , 0.17973 , 0.53141 , 0.45108 , 0.13143 , -0.13991 , 7.71416 , 8.97319 , 7.47507 , 9.02779 , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , 7.59462 , 0.16906 , 9.00049 , 0.03861 , 
ID-8-43 , 0.12651 , -0.54677 , -1.38551 , 0.42763 , 0.67328 , 1.19536 , 0.83884 , 0.07111 , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , 
ID-8-44 , 0.09611 , -0.86986 , -0.63462 , -0.12167 , 0.96597 , 0.50813 , -0.23514 , -0.86494 , 7.20519 , 8.59864 , 6.99139 , 8.66777 , 7.40067 , 8.56828 , 7.3979 , 8.76201 , 7.07307 , 8.74392 , 7.5933 , 8.7686 , nan , nan , nan , nan , 7.27692 , 0.22728 , 8.68487 , 0.08691 , 
ID-8-48 , 0.34826 , -0.34879 , -0.34474 , -0.26548 , 0.69705 , 0.21689 , -0.00395 , -0.48632 , 7.33592 , 8.88527 , 7.85581 , 8.79844 , 7.48488 , 8.85193 , 7.49556 , 8.99193 , nan , nan , 7.70195 , 9.00195 , nan , nan , nan , nan , 7.57482 , 0.20406 , 8.9059 , 0.08876 , 
ID-8-49 , 0.11727 , -0.38765 , -0.71402 , 0.51958 , 0.50492 , 0.39808 , 0.32647 , 0.44797 , 8.29951 , 9.11235 , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , 8.29951 , nan , 9.11235 , inf , 
ID-9-41 , 0.13366 , -0.65531 , -0.79684 , 0.16506 , 0.78898 , 0.54477 , 0.14163 , -0.23809 , 7.84138 , 8.97001 , 7.85676 , 8.9681 , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , 7.84907 , 0.01088 , 8.96905 , 0.00135 , 
ID-9-42 , 0.12724 , -0.51288 , -0.76379 , 0.1472 , 0.64012 , 0.50127 , 0.25101 , -0.10306 , 8.14834 , 9.05223 , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , nan , 8.14834 , inf , 9.05223 , nan , 
ID-9-43 , 0.14431 , -0.51992 , -0.59896 , -0.04431 , 0.66422 , 0.40154 , 0.07914 , -0.36671 , 7.58703 , 8.93294 , 7.65484 , 8.91725 , 7.93779 , 8.89908 , 8.01796 , 9.07522 , nan , nan , nan , nan , nan , nan , nan , nan , 7.7994 , 0.21049 , 8.95612 , 0.08059 , 
ID-9-44 , 0.14404 , -0.56856 , -0.5153 , -0.18288 , 0.7126 , 0.32662 , -0.05316 , -0.56267 , 7.32789 , 8.81942 , 7.34097 , 8.82076 , 7.51865 , 8.78506 , 7.52466 , 8.95596 , nan , nan , nan , nan , nan , nan , nan , nan , 7.42804 , 0.10826 , 8.8453 , 0.0756 , 
ID-9-45 , 0.18747 , -0.89498 , -0.58324 , -0.34247 , 1.08245 , 0.34778 , -0.31163 , -1.00188 , 7.03779 , 8.53782 , 7.00193 , 8.55006 , 7.13725 , 8.51026 , 7.14172 , 8.65186 , 7.06655 , 8.64817 , 7.2365 , 8.65811 , nan , nan , nan , nan , 7.10362 , 0.08519 , 8.59271 , 0.06705 , 
ID-9-46 , 0.24676 , -1.23542 , -0.49095 , -0.37826 , 1.48218 , 0.21379 , -0.74438 , -1.33642 , 6.70482 , 7.99792 , 7.11477 , 7.84906 , 6.85234 , 7.91609 , 6.83372 , 8.35181 , 6.9609 , 8.36907 , 7.0262 , 8.37633 , 6.96197 , 8.27572 , nan , nan , 6.9221 , 0.13598 , 8.16229 , 0.23206 , 
ID-9-47 , 0.16881 , -0.55893 , -0.41001 , -0.27248 , 0.72775 , 0.13378 , -0.14882 , -0.55508 , 7.10692 , 8.75316 , 7.17807 , 8.73239 , 7.33511 , 8.68945 , 7.34985 , 8.94615 , nan , nan , 7.6175 , 8.96158 , nan , nan , nan , nan , 7.31749 , 0.19694 , 8.81655 , 0.12756 , 
ID-9-48 , 0.07896 , -0.44244 , -0.43672 , -0.19878 , 0.5214 , 0.0976 , -0.00562 , -0.30201 , 7.26852 , 8.90516 , 7.3728 , 8.87652 , 7.56188 , 8.83762 , 7.63372 , 9.08403 , nan , nan , nan , nan , nan , nan , nan , nan , 7.45923 , 0.16815 , 8.92583 , 0.10904 , 
ID-9-49 , -0.00249 , -0.37037 , -0.58892 , -0.15926 , 0.36788 , 0.20473 , 0.21865 , -0.14535 , 7.74802 , 9.06924 , 8.1109 , 9.01204 , nan , nan , 8.24101 , 9.17169 , nan , nan , nan , nan , nan , nan , nan , nan , 8.03331 , 0.25549 , 9.08433 , 0.08089 , 
